Channel 1,Channel 2,Channel 3,Channel 4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-0.14,0,0,0.023
-0.29,0,0,0.023
-0.43,0,0,0.023
-0.58,0,0,0.023
-0.72,0,0,0.023
-0.86,0,0,0.023
-1.01,0,-1.01,-5.023
-1.15,0,-1.15,-5.753
-1.3,0,-1.3,-6.485
-1.44,0,-1.44,-7.219
-1.58,0,-1.58,-7.954
-1.73,0,-1.73,-8.69
-1.87,0,-1.87,-9.428
-2.02,0,-2.02,-10.168
-2.16,0,-2.16,-10.908
-2.3,0,-2.3,-11.651
-2.45,0,-2.45,-12.394
-2.59,0,-2.59,-13.139
-2.74,0,-2.74,-13.886
-2.88,0,-2.88,-14.634
-3.02,0,-3.02,-15.383
-3.17,0,-3.17,-16.134
-3.31,0,-3.31,-16.886
-3.46,0,-3.46,-17.64
-3.6,0,-3.6,-18.395
-3.74,0,-3.74,-19.152
-3.89,0,-3.89,-19.91
-4.03,0,-4.03,-20.669
-4.18,0,-4.18,-21.43
-4.32,0,-4.32,-22.193
-4.46,0,-4.46,-22.956
-4.61,0,-4.61,-23.722
-4.75,0,-4.75,-24.488
-4.9,3.52,-8.41,-42.852
-5.04,0,-5.04,-26.061
-5.18,0,-5.18,-26.832
-5.33,0,-5.33,-27.604
-5.47,0,-5.47,-28.378
-5.62,0,-5.62,-29.153
-5.76,0,-5.76,-29.93
-5.9,0,-5.9,-30.708
-6.05,0,-6.05,-31.488
-6.19,0,-6.19,-32.269
-6.34,0,-6.34,-33.051
-6.48,0,-6.48,-33.835
-6.62,0,-6.62,-34.62
-6.77,0,-6.77,-35.407
-6.91,0,-6.91,-36.195
-7.06,0,-7.06,-36.985
-7.2,0,-7.2,-37.776
-7.34,0,-7.34,-38.568
-7.49,0,-7.49,-39.362
-7.63,0,-7.63,-40.157
-7.78,0,-7.78,-40.954
-7.92,0,-7.92,-41.752
