Channel 1,Channel 2,Channel 3,Channel 4
-21.74,-14.06,-7.68,-52.104
-21.89,-17.58,-4.31,-35.282
-22.03,-17.58,-4.45,-36.007
-22.17,-17.58,-4.6,-36.735
-22.32,-17.58,-4.74,-37.464
-22.46,-17.58,-4.88,-38.196
-22.61,-17.58,-5.03,-38.93
-22.75,-17.58,-5.17,-39.667
-22.89,-17.58,-5.32,-40.405
-23.04,-17.58,-5.46,-41.146
-23.18,-17.58,-5.6,-41.889
-23.33,-17.58,-5.75,-42.635
-23.47,-17.58,-5.89,-43.383
-23.61,-17.58,-6.04,-44.133
-23.76,-17.58,-6.18,-44.886
-23.9,-17.58,-6.32,-45.641
-24.05,-17.58,-6.47,-46.398
-24.19,-17.58,-6.61,-47.158
-24.33,-17.58,-6.76,-47.92
-24.48,-17.58,-6.9,-48.685
-24.62,-17.58,-7.04,-49.452
-24.77,-17.58,-7.19,-50.221
-24.91,-21.09,-3.82,-33.382
-25.05,-21.09,-3.96,-34.09
-25.2,-21.09,-4.1,-34.801
-25.34,-21.09,-4.25,-35.515
-25.49,-21.09,-4.39,-36.231
-25.63,-21.09,-4.54,-36.949
-25.77,-21.09,-4.68,-37.67
-25.92,-21.09,-4.82,-38.393
-26.06,-21.09,-4.97,-39.12
-26.21,-21.09,-5.11,-39.848
-26.35,-21.09,-5.26,-40.58
-26.49,-21.09,-5.4,-41.314
-26.64,-21.09,-5.54,-42.05
-26.78,-21.09,-5.69,-42.789
-26.93,-21.09,-5.83,-43.531
-27.07,-21.09,-5.98,-44.276
-27.21,-21.09,-6.12,-45.023
-27.36,-21.09,-6.26,-45.773
-27.5,-21.09,-6.41,-46.526
-27.65,-21.09,-6.55,-47.281
-27.79,-24.61,-3.18,-30.428
-27.93,-24.61,-3.32,-31.122
-28.08,-24.61,-3.47,-31.82
-28.22,-24.61,-3.61,-32.52
-28.37,-24.61,-3.76,-33.223
-28.51,-24.61,-3.9,-33.929
-28.65,-24.61,-4.04,-34.637
-28.8,-24.61,-4.19,-35.349
-28.94,-24.61,-4.33,-36.063
-29.09,-24.61,-4.48,-36.78
-29.23,-24.61,-4.62,-37.5
-29.37,-24.61,-4.76,-38.223
-29.52,-24.61,-4.91,-38.948
-29.66,-24.61,-5.05,-39.677
-29.81,-28.12,-1.68,-22.797
-29.95,-24.61,-5.34,-41.076
-30.09,-24.61,-5.48,-41.813
-30.24,-24.61,-5.63,-42.553
-30.38,-24.61,-5.77,-43.296
-30.53,-24.61,-5.92,-44.042
-30.67,-24.61,-6.06,-44.791
-30.81,-28.12,-2.69,-27.931
-30.96,-24.61,-6.35,-46.231
-31.1,-28.12,-2.98,-29.377
-31.25,-28.12,-3.12,-30.072
-31.39,-28.12,-3.26,-30.769
-31.53,-28.12,-3.41,-31.47
-31.68,-28.12,-3.55,-32.173
-31.82,-28.12,-3.7,-32.879
-31.97,-28.12,-3.84,-33.589
-32.11,-28.12,-3.98,-34.301
-32.25,-28.12,-4.13,-35.016
-32.4,-28.12,-4.27,-35.735
-32.54,-28.12,-4.42,-36.456
-32.69,-28.12,-4.56,-37.18
-32.83,-28.12,-4.7,-37.908
-32.97,-28.12,-4.85,-38.638
-33.12,-28.12,-4.99,-39.371
-33.26,-28.12,-5.14,-40.108
-33.41,-28.12,-5.28,-40.847
-33.55,-28.12,-5.42,-41.589
-33.69,-28.12,-5.57,-42.335
-33.84,-28.12,-5.71,-43.083
-33.98,-28.12,-5.86,-43.835
-34.13,-28.12,-6,-44.589
-34.27,-28.12,-6.14,-45.347
-34.41,-31.64,-2.77,-28.496
-34.56,-31.64,-2.92,-29.193
-34.7,-28.12,-6.58,-47.505
-34.85,-31.64,-3.21,-30.663
-34.99,-31.64,-3.35,-31.37
-35.13,-31.64,-3.49,-32.079
-35.28,-31.64,-3.64,-32.791
-35.42,-31.64,-3.78,-33.507
-35.57,-31.64,-3.92,-34.225
-35.71,-31.64,-4.07,-34.947
-35.85,-31.64,-4.21,-35.671
-36,-31.64,-4.36,-36.399
-36.14,-31.64,-4.5,-37.129
-36.29,-31.64,-4.64,-37.862
-36.43,-31.64,-4.79,-38.599
-36.57,-31.64,-4.93,-39.338
-36.72,-31.64,-5.08,-40.081
