Channel 1,Channel 2,Channel 3,Channel 4
90,42.19,47.81,89.732
90,42.19,47.81,89.856
90,42.19,47.81,89.98
90,42.19,47.81,90.104
90,45.7,44.3,86.951
90,45.7,44.3,87.066
90,42.19,47.81,90.458
90,45.7,44.3,87.305
90,45.7,44.3,87.42
90,45.7,44.3,87.534
90,45.7,44.3,87.649
90,45.7,44.3,87.764
90,45.7,44.3,87.879
90,45.7,44.3,87.994
90,45.7,44.3,88.109
90,45.7,44.3,88.224
90,45.7,44.3,88.339
90,45.7,44.3,88.454
90,45.7,44.3,88.569
90,45.7,44.3,88.684
90,45.7,44.3,88.799
90,45.7,44.3,88.914
90,45.7,44.3,89.029
90,45.7,44.3,89.144
90,49.22,40.78,85.981
90,49.22,40.78,86.087
90,49.22,40.78,86.192
90,49.22,40.78,86.298
90,49.22,40.78,86.404
90,49.22,40.78,86.51
90,49.22,40.78,86.616
90,49.22,40.78,86.722
90,49.22,40.78,86.827
90,49.22,40.78,86.933
90,49.22,40.78,87.039
90,49.22,40.78,87.145
90,49.22,40.78,87.251
90,49.22,40.78,87.357
90,49.22,40.78,87.462
90,49.22,40.78,87.568
90,49.22,40.78,87.674
90,49.22,40.78,87.78
90,52.73,37.27,84.608
90,52.73,37.27,84.705
90,52.73,37.27,84.802
90,49.22,40.78,88.176
90,52.73,37.27,85.004
90,52.73,37.27,85.101
90,52.73,37.27,85.198
90,52.73,37.27,85.294
90,52.73,37.27,85.391
90,52.73,37.27,85.488
90,52.73,37.27,85.585
90,52.73,37.27,85.681
90,52.73,37.27,85.778
90,52.73,37.27,85.875
90,52.73,37.27,85.971
90,52.73,37.27,86.068
90,52.73,37.27,86.165
90,52.73,37.27,86.262
90,52.73,37.27,86.358
90,52.73,37.27,86.455
90,52.73,37.27,86.552
90,56.25,33.75,83.371
90,52.73,37.27,86.736
90,56.25,33.75,83.555
90,56.25,33.75,83.643
90,56.25,33.75,83.731
90,56.25,33.75,83.818
90,56.25,33.75,83.906
90,56.25,33.75,83.994
90,56.25,33.75,84.081
90,56.25,33.75,84.169
90,59.77,30.23,80.979
90,56.25,33.75,84.335
90,59.77,30.23,81.145
90,56.25,33.75,84.501
90,56.25,33.75,84.589
90,59.77,30.23,81.399
90,59.77,30.23,81.477
90,59.77,30.23,81.556
90,59.77,30.23,81.634
90,59.77,30.23,81.713
90,59.77,30.23,81.791
90,59.77,30.23,81.87
90,59.77,30.23,81.948
90,59.77,30.23,82.027
90,59.77,30.23,82.106
90,59.77,30.23,82.184
90,59.77,30.23,82.263
90,59.77,30.23,82.341
90,59.77,30.23,82.42
90,59.77,30.23,82.498
90,59.77,30.23,82.577
90,63.28,26.72,79.378
90,59.77,30.23,82.725
90,59.77,30.23,82.803
90,59.77,30.23,82.882
90,63.28,26.72,79.683
90,63.28,26.72,79.752
90,63.28,26.72,79.822
90,63.28,26.72,79.891
90,63.28,26.72,79.96
90,63.28,26.72,80.03
90,63.28,26.72,80.099
90,63.28,26.72,80.169
90,63.28,26.72,80.238
90,63.28,26.72,80.308
90,63.28,26.72,80.377
90,63.28,26.72,80.446
90,63.28,26.72,80.516
90,63.28,26.72,80.585
90,63.28,26.72,80.655
90,63.28,26.72,80.724
90,63.28,26.72,80.794
90,63.28,26.72,80.863
90,66.8,23.2,77.655
90,63.28,26.72,80.993
90,66.8,23.2,77.785
90,66.8,23.2,77.845
90,66.8,23.2,77.905
90,66.8,23.2,77.965
90,66.8,23.2,78.026
90,66.8,23.2,78.086
90,66.8,23.2,78.146
90,66.8,23.2,78.207
90,66.8,23.2,78.267
90,66.8,23.2,78.327
90,66.8,23.2,78.388
90,66.8,23.2,78.448
90,66.8,23.2,78.508
90,66.8,23.2,78.569
90,66.8,23.2,78.629
90,66.8,23.2,78.689
90,66.8,23.2,78.75
90,70.31,19.69,75.532
90,70.31,19.69,75.584
90,70.31,19.69,75.635
90,70.31,19.69,75.686
90,70.31,19.69,75.737
90,70.31,19.69,75.788
90,70.31,19.69,75.84
90,70.31,19.69,75.891
90,70.31,19.69,75.942
90,70.31,19.69,75.993
90,70.31,19.69,76.045
90,70.31,19.69,76.096
90,70.31,19.69,76.147
90,70.31,19.69,76.198
90,70.31,19.69,76.249
90,70.31,19.69,76.301
90,70.31,19.69,76.352
90,70.31,19.69,76.403
90,70.31,19.69,76.454
90,73.83,16.17,73.228
90,73.83,16.17,73.27
90,73.83,16.17,73.312
90,73.83,16.17,73.354
90,73.83,16.17,73.396
90,73.83,16.17,73.438
90,73.83,16.17,73.481
90,73.83,16.17,73.523
90,73.83,16.17,73.565
90,73.83,16.17,73.607
90,73.83,16.17,73.649
90,73.83,16.17,73.691
90,73.83,16.17,73.733
90,73.83,16.17,73.775
90,73.83,16.17,73.817
90,73.83,16.17,73.86
90,73.83,16.17,73.902
90,73.83,16.17,73.944
90,77.34,12.66,70.708
90,77.34,12.66,70.741
90,73.83,16.17,74.052
90,77.34,12.66,70.816
90,77.34,12.66,70.849
90,77.34,12.66,70.882
90,77.34,12.66,70.915
90,77.34,12.66,70.948
90,77.34,12.66,70.981
90,77.34,12.66,71.014
90,77.34,12.66,71.047
90,77.34,12.66,71.08
90,77.34,12.66,71.113
90,77.34,12.66,71.146
90,77.34,12.66,71.179
90,77.34,12.66,71.212
90,77.34,12.66,71.245
90,77.34,12.66,71.278
90,77.34,12.66,71.311
90,77.34,12.66,71.344
90,77.34,12.66,71.377
90,80.86,9.14,68.133
90,80.86,9.14,68.157
90,80.86,9.14,68.181
90,80.86,9.14,68.204
90,80.86,9.14,68.228
90,80.86,9.14,68.252
90,80.86,9.14,68.276
90,80.86,9.14,68.3
90,80.86,9.14,68.324
90,80.86,9.14,68.348
